dataset_title,publisher,author,dataset_issued,dataset_modified,dataset_description,source,info_url,start_date,end_date,file_title,download_url,format,file_description,file_created,file_modified,file_size,licence
State Library of Queensland - Library membership,State Library of Queensland,opendata@slq.qld.gov.au,2014-09-25T02:14:19.128992,2020-06-12T01:10:00.379626,"Library membership for State Library of Queensland, includes suburb, postcode, country and date of membership. ",data.qld.gov.au,https://data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0,,,Explanatory information - Library membership,https://www.data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0/resource/d948838d-cf45-4cf8-ba8c-63c167281412/download/explanatory-information-library-membership.rtf,RTF,More information about this dataset,2020-06-12T01:07:29.865065,2020-06-12T01:07:29.729955,604.5 KiB,Creative Commons Attribution 4.0
State Library of Queensland - Library membership,State Library of Queensland,opendata@slq.qld.gov.au,2014-09-25T02:14:19.128992,2020-06-12T01:10:00.379626,"Library membership for State Library of Queensland, includes suburb, postcode, country and date of membership. ",data.qld.gov.au,https://data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0,,,2019 Library membership,https://www.data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0/resource/162ac9af-c720-49ef-9cfc-7962cae03a80/download/slqmembership201909.csv,CSV,"2019 Library membership details for State Library of Queensland, includes suburb, postcode, country and date of membership.",2020-06-12T01:02:51.957559,2020-06-12T01:02:51.872481,5 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Library membership,State Library of Queensland,opendata@slq.qld.gov.au,2014-09-25T02:14:19.128992,2020-06-12T01:10:00.379626,"Library membership for State Library of Queensland, includes suburb, postcode, country and date of membership. ",data.qld.gov.au,https://data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0,,,2014-15 Library membership,https://www.data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0/resource/0acb7ce5-b57b-49ea-aa53-3a4508a11344/download/user-list-for-open-data-010715.csv,CSV,"2014/15 Library membership details for State Library of Queensland, includes suburb, postcode, country and date of membership.",2019-03-20T05:30:44.165540,2019-08-19T06:10:59.082237,1.5 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Library membership,State Library of Queensland,opendata@slq.qld.gov.au,2014-09-25T02:14:19.128992,2020-06-12T01:10:00.379626,"Library membership for State Library of Queensland, includes suburb, postcode, country and date of membership. ",data.qld.gov.au,https://data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0,,,2013-14 Library membership,https://www.data.qld.gov.au/dataset/1f3f1d06-2dfa-4c4a-8737-235afdf3d1e0/resource/40ef61fe-2cf9-4317-ae99-2947e176c77b/download/slqpatrons0614.csv,CSV,"2013/14 Library membership details for State Library of Queensland, includes suburb, postcode, country and date of membership.",2014-09-25T02:16:50.267435,2019-08-19T06:10:33.329160,2 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Unstacked logs - Catalogue usage,State Library of Queensland,opendata@slq.qld.gov.au,2019-05-17T04:27:32.465035,2021-01-13T04:50:45.917663,"This open data file contains usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.

Unstacked is a real-time visualisation of resources users are accessing from the State Library of Queensland’s online catalogue. As onsite and offsite users select items in the catalogue, the cover or preview image for the item appears in Unstacked. So, when an image appears, it means someone just looked at that item. Users on Unstacked can select the image to view more details about the item and click through to the item’s record in the State Library catalogue.

The Unstacked database stores information about each item and ‘view’ interaction that it visualises. This includes bibliographic information about the item (title, publisher, date, description, subject, ISBN, etc.) and activity details for each view (date/time, onsite/offsite, display image URL, etc.).

Additional background information can be found at: https://www.slq.qld.gov.au/blogs/slq-today/slq-unstacked ",data.qld.gov.au,https://data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b,,,Explanatory information — Unstacked logs - Catalogue usage,https://www.data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b/resource/dac7865a-6d02-428a-8737-48eb08851146/download/slq-unstacked-logs-explanatory-information.rtf,RTF,Explanatory information about the dataset of usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ .,2019-05-17T04:53:40.755174,2019-08-26T04:42:28.167158,615 KiB,Creative Commons Attribution 4.0
State Library of Queensland - Unstacked logs - Catalogue usage,State Library of Queensland,opendata@slq.qld.gov.au,2019-05-17T04:27:32.465035,2021-01-13T04:50:45.917663,"This open data file contains usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.

Unstacked is a real-time visualisation of resources users are accessing from the State Library of Queensland’s online catalogue. As onsite and offsite users select items in the catalogue, the cover or preview image for the item appears in Unstacked. So, when an image appears, it means someone just looked at that item. Users on Unstacked can select the image to view more details about the item and click through to the item’s record in the State Library catalogue.

The Unstacked database stores information about each item and ‘view’ interaction that it visualises. This includes bibliographic information about the item (title, publisher, date, description, subject, ISBN, etc.) and activity details for each view (date/time, onsite/offsite, display image URL, etc.).

Additional background information can be found at: https://www.slq.qld.gov.au/blogs/slq-today/slq-unstacked ",data.qld.gov.au,https://data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b,,,December 2020 — Unstacked logs - Catalogue usage,https://www.data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b/resource/2de0a702-3c5b-499c-8027-1ed0abfc2f32/download/slq-unstacked-logs-202012-december.csv,CSV,December 2020 usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.,2021-01-13T04:50:46.070361,2021-01-13T04:50:45.842985,10.5 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Unstacked logs - Catalogue usage,State Library of Queensland,opendata@slq.qld.gov.au,2019-05-17T04:27:32.465035,2021-01-13T04:50:45.917663,"This open data file contains usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.

Unstacked is a real-time visualisation of resources users are accessing from the State Library of Queensland’s online catalogue. As onsite and offsite users select items in the catalogue, the cover or preview image for the item appears in Unstacked. So, when an image appears, it means someone just looked at that item. Users on Unstacked can select the image to view more details about the item and click through to the item’s record in the State Library catalogue.

The Unstacked database stores information about each item and ‘view’ interaction that it visualises. This includes bibliographic information about the item (title, publisher, date, description, subject, ISBN, etc.) and activity details for each view (date/time, onsite/offsite, display image URL, etc.).

Additional background information can be found at: https://www.slq.qld.gov.au/blogs/slq-today/slq-unstacked ",data.qld.gov.au,https://data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b,,,November 2020 — Unstacked logs - Catalogue usage,https://www.data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b/resource/541beac8-29a0-4d32-a1ed-d815972e0a44/download/slq-unstacked-logs-202011-november.csv,CSV,November 2020 usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.,2020-12-16T05:59:22.564403,2020-12-16T05:59:22.373779,13.5 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Unstacked logs - Catalogue usage,State Library of Queensland,opendata@slq.qld.gov.au,2019-05-17T04:27:32.465035,2021-01-13T04:50:45.917663,"This open data file contains usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.

Unstacked is a real-time visualisation of resources users are accessing from the State Library of Queensland’s online catalogue. As onsite and offsite users select items in the catalogue, the cover or preview image for the item appears in Unstacked. So, when an image appears, it means someone just looked at that item. Users on Unstacked can select the image to view more details about the item and click through to the item’s record in the State Library catalogue.

The Unstacked database stores information about each item and ‘view’ interaction that it visualises. This includes bibliographic information about the item (title, publisher, date, description, subject, ISBN, etc.) and activity details for each view (date/time, onsite/offsite, display image URL, etc.).

Additional background information can be found at: https://www.slq.qld.gov.au/blogs/slq-today/slq-unstacked ",data.qld.gov.au,https://data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b,,,October 2020 — Unstacked logs - Catalogue usage,https://www.data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b/resource/5446f86e-1c2c-4f91-b7fc-2c853814d072/download/slq-unstacked-logs-202010-october.csv,CSV,October 2020 usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.,2020-12-16T05:56:33.423658,2020-12-16T05:56:33.227886,15 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Unstacked logs - Catalogue usage,State Library of Queensland,opendata@slq.qld.gov.au,2019-05-17T04:27:32.465035,2021-01-13T04:50:45.917663,"This open data file contains usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.

Unstacked is a real-time visualisation of resources users are accessing from the State Library of Queensland’s online catalogue. As onsite and offsite users select items in the catalogue, the cover or preview image for the item appears in Unstacked. So, when an image appears, it means someone just looked at that item. Users on Unstacked can select the image to view more details about the item and click through to the item’s record in the State Library catalogue.

The Unstacked database stores information about each item and ‘view’ interaction that it visualises. This includes bibliographic information about the item (title, publisher, date, description, subject, ISBN, etc.) and activity details for each view (date/time, onsite/offsite, display image URL, etc.).

Additional background information can be found at: https://www.slq.qld.gov.au/blogs/slq-today/slq-unstacked ",data.qld.gov.au,https://data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b,,,September 2020 — Unstacked logs - Catalogue usage,https://www.data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b/resource/48e1dffb-26e2-45a5-a195-d6fe680e196d/download/slq-unstacked-logs-202009-september.csv,CSV,September 2020 usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.,2020-12-16T05:53:25.613765,2020-12-16T05:53:25.411386,15.5 MiB,Creative Commons Attribution 4.0
State Library of Queensland - Unstacked logs - Catalogue usage,State Library of Queensland,opendata@slq.qld.gov.au,2019-05-17T04:27:32.465035,2021-01-13T04:50:45.917663,"This open data file contains usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.

Unstacked is a real-time visualisation of resources users are accessing from the State Library of Queensland’s online catalogue. As onsite and offsite users select items in the catalogue, the cover or preview image for the item appears in Unstacked. So, when an image appears, it means someone just looked at that item. Users on Unstacked can select the image to view more details about the item and click through to the item’s record in the State Library catalogue.

The Unstacked database stores information about each item and ‘view’ interaction that it visualises. This includes bibliographic information about the item (title, publisher, date, description, subject, ISBN, etc.) and activity details for each view (date/time, onsite/offsite, display image URL, etc.).

Additional background information can be found at: https://www.slq.qld.gov.au/blogs/slq-today/slq-unstacked ",data.qld.gov.au,https://data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b,,,August 2020 — Unstacked logs - Catalogue usage,https://www.data.qld.gov.au/dataset/eca99ce9-dbf6-4e54-904e-d6a3cd0e3c2b/resource/27afe503-6d09-4090-8023-024fdc687aef/download/slq-unstacked-logs-202008-august.csv,CSV,August 2020 usage data from the State Library of Queensland’s Unstacked interface at https://unstacked.slq.qld.gov.au/ . This includes bibliographic information about viewed items and activity details for each ‘view’ on Unstacked.,2020-09-08T06:43:14.077307,2020-09-08T06:43:13.923629,15.5 MiB,Creative Commons Attribution 4.0
