dataset_description,dataset_issued,dataset_modified,dataset_title,download_url,end_date,file_description,file_issued,file_modified,file_title,format,info_url,licence,publisher,source,start_date
"This index contains 763 entries from two series of records: a register of salaried officers working for the NSW Government Railways and Tramways, 1856-1890; and a personnel register for Darling Harbour, 1909-32.

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/professions-and-occupations/railway-employees-1/railway-employment-records).",2014-09-30T04:34:46Z,2016-07-20T12:10:21Z,Railway Employment Records,http://data.nsw.gov.au/data/storage/f/2014-09-30T04%3A35%3A07.812Z/railway-employment-records.csv,,"This dataset contains the following attributes:
Surname, First Name, First Position Listed, Date of First Position Listed, Page, Item, Remarks, ID",2014-09-30T00:36:18Z,,Railway Employment Records,CSV,https://data.nsw.gov.au/data/dataset/1f776129-6d97-4225-afc0-b9fc1833f815,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Researching deceased estates files before 1923 is a complex process, with researchers often having to check up to five different indexes to locate a file. This index simplifies the process by combining all indexes into one searchable database. There are currently c.130,000 entries dating from 1880 onwards.

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-deceased-estates-and-related-records/indexes-to-deceased-estate-files).",2014-09-30T04:52:48Z,2016-07-20T12:09:20Z,"Deceased Estate Files, 1880-1923",https://data.nsw.gov.au/data/dataset/5d45437c-d07a-4977-95ab-e53fb86f02c1/resource/7ea09383-b884-4458-885a-6fab1fc4c209/download/deceased-estates.csv,,"This dataset contains the following attributes: Surname, First Name, Locality, Date Of Death, Date Duty Paid, Item, Reel, Remarks, ID",2014-09-30T00:55:53Z,,Deceased Estates,CSV,https://data.nsw.gov.au/data/dataset/5d45437c-d07a-4977-95ab-e53fb86f02c1,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"The passage of the Returned Soldiers Settlement Act 1916, (Act No 21 1916) allowed the settlement of returned soldiers on Crown and Closer Settlement lands. When applying for land, an ex-serviceman was required to complete a Qualification Certificate which was a declaration of his or her status as an ex-service person and eligibility for land.

These indexes were created by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).",2013-05-28T05:07:29Z,2016-06-16T01:18Z,Soldier Settlement Indexes,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/78d82f3e-7776-4fb0-a5aa-4cdf1f9754cb/download/index-to-closer-settlement-promotion.csv,,"For a description of this data, see: [Closer Settlement Promotion files](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-closer-settlement-promotion-files).",2013-05-28T01:08:57Z,,"Closer Settlement Promotion files, 1913-",CSV,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"The passage of the Returned Soldiers Settlement Act 1916, (Act No 21 1916) allowed the settlement of returned soldiers on Crown and Closer Settlement lands. When applying for land, an ex-serviceman was required to complete a Qualification Certificate which was a declaration of his or her status as an ex-service person and eligibility for land.

These indexes were created by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).",2013-05-28T05:07:29Z,2016-06-16T01:18Z,Soldier Settlement Indexes,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/cec55aee-f978-4c8c-a843-d628ff7c3c82/download/closer-settlement-transfer-registers-nrs-8082.csv,,"For a description of this data, see this page: [Closer Settlement Transfer Registers](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-closer-settlement-transfer-registers).",2013-05-28T01:09:42Z,,"Closer Settlement Transfer Registers, Jul 1919 - Apr 1925",CSV,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"The passage of the Returned Soldiers Settlement Act 1916, (Act No 21 1916) allowed the settlement of returned soldiers on Crown and Closer Settlement lands. When applying for land, an ex-serviceman was required to complete a Qualification Certificate which was a declaration of his or her status as an ex-service person and eligibility for land.

These indexes were created by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).",2013-05-28T05:07:29Z,2016-06-16T01:18Z,Soldier Settlement Indexes,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/233f1be2-8b7d-45af-b8a7-5627f624ec48/download/closer-and-soldier-settlement-transfer-files.csv,,"For a description of this data, see this page: [Closer Settlement and Returned Soldier’s Transfer files](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-returned-soldiers-transfer-files)",2013-05-28T01:10:39Z,,"Closer Settlement and Returned Soldier’s Transfer files, 1907-36, 1951",CSV,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"The passage of the Returned Soldiers Settlement Act 1916, (Act No 21 1916) allowed the settlement of returned soldiers on Crown and Closer Settlement lands. When applying for land, an ex-serviceman was required to complete a Qualification Certificate which was a declaration of his or her status as an ex-service person and eligibility for land.

These indexes were created by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).",2013-05-28T05:07:29Z,2016-06-16T01:18Z,Soldier Settlement Indexes,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/8d08d6d7-1d36-4df5-b08f-c06ac4decc7b/download/registers-of-settlement-purchases.csv,,"For a description of this data, see this page: [Registers of Settlement Purchase](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-registers-of-settlement-purchases)",2013-05-28T01:11:22Z,,"Registers of Settlement Purchase, 1905-1929",CSV,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"The passage of the Returned Soldiers Settlement Act 1916, (Act No 21 1916) allowed the settlement of returned soldiers on Crown and Closer Settlement lands. When applying for land, an ex-serviceman was required to complete a Qualification Certificate which was a declaration of his or her status as an ex-service person and eligibility for land.

These indexes were created by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).",2013-05-28T05:07:29Z,2016-06-16T01:18Z,Soldier Settlement Indexes,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/f0091f64-bb2a-4d22-abbb-558538709145/download/returned-soldiers-settlement-misc-files-1916-25.csv,,"For a description of this data, see this page: [Returned Soldier Settlement Miscellaneous Files](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/index-to-returned-soldiers-miscellaneous-files)",2013-05-28T01:12:01Z,,Returned Soldier Settlement Miscellaneous Files,CSV,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"The passage of the Returned Soldiers Settlement Act 1916, (Act No 21 1916) allowed the settlement of returned soldiers on Crown and Closer Settlement lands. When applying for land, an ex-serviceman was required to complete a Qualification Certificate which was a declaration of his or her status as an ex-service person and eligibility for land.

These indexes were created by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).",2013-05-28T05:07:29Z,2016-06-16T01:18Z,Soldier Settlement Indexes,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd/resource/808ba35d-feb6-4718-95c3-201698c28f23/download/returned-soldier-settlement-loan-files.csv,,"For a description of this data, see this page: [Returned Soldiers Settlement Loan Files](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-land-records/returned-soldiers-settlement-loans-files)",2013-05-28T01:12:43Z,,Returned Soldiers Settlement Loan Files,CSV,https://data.nsw.gov.au/data/dataset/78fe0108-2ae2-4918-b359-48a3bb1c31dd,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Name search for railway employees who died in the First World War. This index contains 1214 entries and was compiled from one volume by the [State Records NSW Volunteer program](http://www.records.nsw.gov.au/about-us/volunteers/volunteers).

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/professions-and-occupations/railway-employees-1/railways-and-tramways-roll-of-honour).",2014-09-30T04:45:10Z,2016-07-20T12:15:24Z,"NSW Government Railways and Tramways Roll of Honour, 1914-1919",http://data.nsw.gov.au/data/storage/f/2014-09-30T04%3A45%3A19.871Z/nsw-govt-railways-and-tramways-roll-of-honour-1914-1919.csv,,"This dataset contains the following attributes: Surname, First Name, Branch, Military Unit, Page No, ID",2014-09-30T00:46:33Z,,NSW Govt Railways and Tramways - Roll of Honour - 1914-1919.csv,CSV,https://data.nsw.gov.au/data/dataset/33809e06-5e9e-49e6-a922-b345afc0b4ca,Creative Commons Attribution,NSW State Archives,New South Wales Government,
"Between 1788 and 1842 about 80,000 convicts were transported to New South Wales. Of these, about 85% were men and 15% were women. Almost two thirds of convicts were English (along with a small number of Scottish and Welsh), with the Irish making up the remaining one third.

Convicts were usually given sentences of transportation for seven, 14 years or life. Some convicts in the 1830s received ten-year sentences. About one quarter of the convicts were sentenced to ‘the term of their natural lives’, and a proportion of these had reprieves from the death sentence.

These seven indexes contain around 140,000 entries in total.",2015-10-01T01:54:53Z,2015-10-01T02:14:59Z,Convict Indexes,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0/resource/4cbdcbe0-e51f-41a1-ae44-25a16c2e06bc/download/bank-accounts-1837-70.csv,,"This dataset contains the following attributes: 
ID, Surname, First Name, Alias, Vessel, Year, No, Date, Record Type, Citation, Remarks

[Click here for more information about this index](http://www.records.nsw.gov.au/state-archives/indexes-online/indexes-to-convict-records/index-to-convict-bank-accounts).",2015-10-01T11:57:07Z,,Index to convict bank accounts 1837-70,CSV,https://data.nsw.gov.au/data/dataset/acdd01d0-d700-465c-a183-735c4f139ca0,Creative Commons Attribution,NSW State Archives,New South Wales Government,
