source,organisation,author,created,last_modified,package_title,file_title,date_from,date_to,description,format,licence,info,url,status
data.qld.gov.au,Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T03:28:09.245396,2014-06-25T03:28:09.245396,Black Tracker files index,Black Tracker files index,,,"This dataset contains names of the Black Trackers, information related to geographical areas where they were stationed, duration and related indexed correspondence. 
Please note the indexes are incomplete and will be updated when indexing has been completed. ",csv,Other (Open),https://data.qld.gov.au/dataset/d4eae643-937c-4035-8c3f-f3296b4ab474,https://data.qld.gov.au/dataset/d4eae643-937c-4035-8c3f-f3296b4ab474/resource/8f7ceba1-3225-4888-8c54-b37b66d17c55/download/indexes-black-tracker-files.csv,200
data.qld.gov.au,Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T03:36:16.835616,2014-06-25T03:36:16.835616,Correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek,Correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek,,,This dataset relates to indexes created for correspondence items dated from 1894 to 1915.,csv,Other (Open),https://data.qld.gov.au/dataset/fa8fe6cd-8560-4a1b-8d8a-698c49e308fd,https://data.qld.gov.au/dataset/fa8fe6cd-8560-4a1b-8d8a-698c49e308fd/resource/21b98a5e-9d9a-4795-9693-faac505c7e0c/download/indexes-atsi-corro-1894-1915-deebing-creek.csv,200
data.qld.gov.au,Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T03:40:34.003513,2014-06-25T03:40:34.003513,Correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek,Correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek explanatory notes,,,This resource contains the explanatory notes for the correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek dataset,pdf,Other (Open),https://data.qld.gov.au/dataset/fa8fe6cd-8560-4a1b-8d8a-698c49e308fd,https://data.qld.gov.au/dataset/fa8fe6cd-8560-4a1b-8d8a-698c49e308fd/resource/a60f6e83-0e71-4fd1-971e-d8bb096ba8ed/download/note-indexes-atsi-corro-1894-1915-deebing-creek.pdf,200
data.qld.gov.au,Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T06:25:06.236469,2014-06-25T06:25:06.236469,Index of census returns of Aboriginal and Torres Strait Island people 1915,Index of census returns of Aboriginal and Torres Strait Island people 1915,,,This dataset contains an index of census returns of Aboriginal and Torres Strait Island people compiled around 1915 by district.,csv,Other (Open),https://data.qld.gov.au/dataset/deee57ae-b8c4-4676-a7d5-70c063575183,https://data.qld.gov.au/dataset/deee57ae-b8c4-4676-a7d5-70c063575183/resource/e2505bb0-5bc2-4117-97ff-7137405e5f31/download/index-census-returns-atsi.csv,200
data.nsw.gov.au,Australian Museum,Vanessa Finney,2013-11-21T23:41:24.250732,2013-11-21T23:41:24.250732,Australian Museum: Scott Sisters collection and science data,Scott Sisters collection and science data,,,Collection data from the 1800s and current scientific data is available from our EMu database and the Atlas of Living Australia.,"csv, json, web services",Creative Commons Attribution,https://data.nsw.gov.au/dataset/4e57d134-79e9-42ad-a0a9-83fc91e1091c,http://australianmuseum.net.au/Scott-Sisters-collection-and-science-data/,200
data.nsw.gov.au,City of Sydney,City of Sydney,2016-07-27T15:06:56.938614,2016-07-27T15:06:56.938614,City of Sydney Collections,City of Sydney - Collections website link,,,http://www.cityofsydney.nsw.gov.au/learn/search-our-collections,website link,Creative Commons Attribution,https://data.nsw.gov.au/dataset/c424f394-c952-442f-b462-3ba6fe9ba8d3,http://www.cityofsydney.nsw.gov.au/learn/search-our-collections,200
data.qld.gov.au,Environment and Science,opendata@qm.qld.gov.au,2014-06-25T05:09:42.879738,2014-06-25T05:09:42.879738,Queensland Museum collection of historical objects,Queensland Museum collection of historical object records,,,"A CSV file containing records of a selection of historical objects in the Queensland Museum collection including their classification, materials, measurements, production place, primary maker, object type, and a reference to a photograph of the object.",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/bef12bdd-27de-4a74-bb84-ab18797a922e,http://www.qm.qld.gov.au/microsites/data/historical-data/qm-historical-collection.csv,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2013-05-29T00:14:05.440822,2013-05-29T00:14:05.440822,State Library of Queensland - British convict transportation registers,State Library of Queensland - British convict transportation registers,,,"This dataset contains details of convicts transported to Australia in the 18th and 19th centuries including name of convict (and any known aliases), place of trial, term of years, name of ship and date of departure, and place of arrival. Over 123,000 out of the estimated 160,000 convicts transported to Australia are recorded in this database. These include prisoners sent to New South Wales, Van Diemen’s Land (Tasmania), Moreton Bay (Brisbane), Port Phillip, Western Australia and Norfolk Island. Also recorded are some ships which were bound for Gibraltar. The records cover the period 1787–1867.

Entries in the British Convict transportation registers 1787-1867 database compiled by State Library of Queensland from British Home Office records.

To search for a particular convict visit onesearch.slq.qld.gov.au.
",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/458eb59f-e5f1-466f-925b-9dbcebb4f073,https://data.gov.au/dataset/british-convict-transportation-registers,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2013-05-29T00:21:04.693875,2013-05-29T00:21:04.693875,State Library of Queensland - Digitised maps,State Library of Queensland - Digitised maps,,,"A collection of digitised, out of copyright maps from the collections of the State Library of Queensland, including early maps (18th and 19th century) of the Pacific region, Queensland and Brisbane. ",csv,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/befaf9ae-6100-441f-9f77-2f9ed377e105,https://data.gov.au/dataset/digitised-maps,200
data.qld.gov.au,Environment and Science,opendata@slq.qld.gov.au,2018-03-29T05:01:04.829038,2018-03-29T05:01:04.829038,State Library of Queensland - Licensed Victuallers Index,Explanatory Information,,,This document provides information about the contents of the Licensed Victuallers Index.,docx,Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/96c624e5-c6fd-4e26-8c07-90a236185437,https://data.gov.au/dataset/slq-licensed-victuallers-index/resource/36519ad2-79e3-4f3a-bd43-9c96df618db2,200
