organisation,author,created,last_modified,package_title,file_title,date_from,date_to,description,licence,info,url
Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T03:28:09.245396,2014-06-25T03:28:09.245396,Black Tracker files index,Black Tracker files index,,,"This dataset contains names of the Black Trackers, information related to geographical areas where they were stationed, duration and related indexed correspondence. 
Please note the indexes are incomplete and will be updated when indexing has been completed. ",Other (Open),https://data.qld.gov.au/dataset/d4eae643-937c-4035-8c3f-f3296b4ab474,https://data.qld.gov.au/dataset/d4eae643-937c-4035-8c3f-f3296b4ab474/resource/8f7ceba1-3225-4888-8c54-b37b66d17c55/download/indexes-black-tracker-files.csv
Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T03:36:16.835616,2014-06-25T03:36:16.835616,Correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek,Correspondence relating to Aboriginal and Torres Strait Islander people - Deebing Creek,,,This dataset relates to indexes created for correspondence items dated from 1894 to 1915.,Other (Open),https://data.qld.gov.au/dataset/fa8fe6cd-8560-4a1b-8d8a-698c49e308fd,https://data.qld.gov.au/dataset/fa8fe6cd-8560-4a1b-8d8a-698c49e308fd/resource/21b98a5e-9d9a-4795-9693-faac505c7e0c/download/indexes-atsi-corro-1894-1915-deebing-creek.csv
Aboriginal and Torres Strait Islander Partnerships,opendata@datsima.qld.gov.au ,2014-06-25T06:25:06.236469,2014-06-25T06:25:06.236469,Index of census returns of Aboriginal and Torres Strait Island people 1915,Index of census returns of Aboriginal and Torres Strait Island people 1915,,,This dataset contains an index of census returns of Aboriginal and Torres Strait Island people compiled around 1915 by district.,Other (Open),https://data.qld.gov.au/dataset/deee57ae-b8c4-4676-a7d5-70c063575183,https://data.qld.gov.au/dataset/deee57ae-b8c4-4676-a7d5-70c063575183/resource/e2505bb0-5bc2-4117-97ff-7137405e5f31/download/index-census-returns-atsi.csv
Environment and Science,opendata@qm.qld.gov.au,2014-06-25T05:09:42.879738,2014-06-25T05:09:42.879738,Queensland Museum collection of historical objects,Queensland Museum collection of historical object records,,,"A CSV file containing records of a selection of historical objects in the Queensland Museum collection including their classification, materials, measurements, production place, primary maker, object type, and a reference to a photograph of the object.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/bef12bdd-27de-4a74-bb84-ab18797a922e,http://www.qm.qld.gov.au/microsites/data/historical-data/qm-historical-collection.csv
Housing and Public Works,info@archives.qld.gov.au,2015-07-08T05:51:31.632805,2015-07-08T05:51:31.632805,Aboriginal War Census 1915 to 1916,Aboriginal War Census 1915 to 1916,,,"This open data file records Aboriginal peoples living at various settlements for war census purposes between the years 1915 to 1916. Information also includes the district or settlement, the closest town and Queensland State Archives' catalogue details. ",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/74824ca8-2ba5-40d2-a7a0-f4d2f69e3dff,https://data.qld.gov.au/dataset/74824ca8-2ba5-40d2-a7a0-f4d2f69e3dff/resource/306fcd00-26ea-44fa-914f-1476732f6b98/download/aboriginal-war-census-returns-1915-1916.csv
Housing and Public Works,info@archives.qld.gov.au,2016-08-16T23:29:26.628723,2016-08-16T23:29:26.628723,Army Reservist payments 1909 to 1912,Army Reservist payments 1909 to 1912 ,,,"This open data file alphabetically lists the names of army reservists who received payments from the Treasury Department Queensland, during the period 1909 to 1912. Information also includes the Service Number, date, page number and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/696f4c13-a846-4cf7-8765-a1fdc471f77c,https://data.qld.gov.au/dataset/696f4c13-a846-4cf7-8765-a1fdc471f77c/resource/5e8042ce-bfe1-4430-801d-dddeaa61bbd5/download/army-reservists-1909-1912.csv
Housing and Public Works,info@archives.qld.gov.au,2013-06-25T20:34:24.588785,2013-06-25T20:34:24.588785,Assistant Immigration Agent Maryborough 1875 to 1884,"Rations issued to immigrants, Maryborough 1875-1884",,,"This open data file lists the names of immigrants issued with rations by the Assistant Immigration Agent, Maryborough. Details include the mess number, the name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/7ccf8996-505a-43e3-aca8-437d9a7461f0,https://data.qld.gov.au/dataset/7ccf8996-505a-43e3-aca8-437d9a7461f0/resource/d1e8107a-2cdf-4bf7-ad31-5054ee5a0fd0/download/rations-issued-to-immigrants-maryborough-1875-1884.csv
Housing and Public Works,info@archives.qld.gov.au,2013-06-25T20:22:54.184972,2013-06-25T20:22:54.184972,Assistant Immigration Agent Maryborough 1884 to 1907,"Immigrants nominated for passage, Maryborough 1884 to 1896",,,"This open data file lists the names of immigrants and nominators as recorded in the registers for nominated passage kept by the Assistant Immigration Agent, Maryborough. Details include the type of nomination, the date and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/8a0928d0-60c2-4ce3-be0a-c07c6a89be0f,https://data.qld.gov.au/dataset/8a0928d0-60c2-4ce3-be0a-c07c6a89be0f/resource/5ed4ef62-d2f8-4664-8e16-9803ccbf59d4/download/assistant-immigration-agent-maryborough-1884-1896.csv
Housing and Public Works,info@archives.qld.gov.au,2013-06-25T20:22:54.185005,2013-06-25T20:22:54.185005,Assistant Immigration Agent Maryborough 1884 to 1907,"Nominated immigrants, Maryborough 1904 to 1907",,,"This open data file lists the names of immigrants from Europe as recorded in the correspondence and papers for nominated passage kept by the Assistant Immigration Agent, Maryborough. Details include the certificate number, the date and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/8a0928d0-60c2-4ce3-be0a-c07c6a89be0f,https://data.qld.gov.au/dataset/8a0928d0-60c2-4ce3-be0a-c07c6a89be0f/resource/da032bf1-f7ea-4140-95e2-4ac198cd28ca/download/assistant-immigration-agent-maryborough-1904-1907.csv
Housing and Public Works,info@archives.qld.gov.au,2013-03-05T23:30:57.308546,2013-03-05T23:30:57.308546,Assisted immigration 1848 to 1912,Assisted immigration 1848 to 1912 - A,,,"This open data file lists the names of assisted passengers, with surnames beginning A, arriving in Queensland from the United Kingdom and Europe between 1848 and 1912. Information includes the age of the passenger, name of the ship, date of arrival and Queensland State Archives' catalogue details.",Creative Commons Attribution 4.0,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9,https://data.qld.gov.au/dataset/ba182873-e8a7-45e1-b0e7-e0b6671fa1a9/resource/4d7a110c-f531-4688-9dda-b1c04ee16ebd/download/assisted-immigration-1848-1912-a.csv
